"001","Cat and Butterfly Lamp Shade","A cat is enamored by nature’s wonders in this custom made giclee lamp shade.","shade","21111","100","20","69.99","shade/catshade.jpg","0.02","10","0","3","shade cat butterfly nature"
"002","Aloha Shade","Say Aloha to your boring living room and Aloha to this Hawaiin-themed shade! ","shade","21112","60","12","40.99","shade/aloha.jpg","0.02","10","0","4","shade aloha Hawaii tropical"
"003","Fresh Cheese Shade","Tired of cooking? Have that feel while relaxing next to your new cheese shade. Perfection.","shade","21113","50","20","50.99","shade/cheese.jpg","0.1","12","0","5","shade cheese wine cooking"
"004","Fishy Fish Shade","Perfect for a kid's room, this fish shade is the just right amount of ocean.","shade","21114","75","10","24.99","shade/fish.jpg","0.1","12","0","2","shade fish kid children tropical colorful animal"
"005","Genesis Shade","Michelangelo himself would be proud to own this lamp shade. Bring a piece of Italy to your room!","shade","21115","50","34","89.99","shade/genesis.jpg","0.02","10","0","4","shade michelangelo finger art genesis"
"006","Touch of Wilderness Shade","Bring the Alaskan wilderness to your house by buying this shade with a powerful moose on it! Perfect","shade","21116","55","20","79.99","shade/moose.jpg","0.1","12","0","3","shade moose wilderness nature outdoors animal"
"007","Moustache Shade","Moustache lamp shades are the best. Snag one of your own!","shade","21117","85","19","66.99","shade/mustache.jpg","0.1","14","1","5","shade mustache moustache lamp featured"
"008","Fresh Fruit Shade","Want some fruit? Get this shade.","shade","21118","45","20","77.99","shade/pineapples.jpg","0.02","10","0","4","shade fruit food"
"009","Cock-a-doodle Doo Shade","Ready to brighten your morning, this rooster shade is the perfect touch for any rustic theme.","shade","21119","50","20","70.99","shade/rooster.jpg","0.1","12","0","3","shade rooster animal"
"010","Truckin' Along Shade","The  charming truck pattern will have you movin'!","shade","21110","80","10","45.99","shade/truck.jpg","0.02","10","0","1","shade truck car"
"011","Birth of Venus Shade","A classic art piece can now be in your living room!","shade","21111","90","15","60.99","shade/venus.jpg","0.02","10","0","4","shade venus art"
"012","Merry Christmas Shade","Nothing says Christmas better than a Christmas lamp.","shade","21112","40","20","79.99","shade/xmas.jpg","0.02","10","0","5","shade christmas holiday raptor jesus"
"013","Aquarium Nightlight","This nightlight will immuniate any room with a peaceful ocean scene","misc","21113","50","6","14.99","misc/aquarium.jpg","0.1","5","0","5","misc aquarium nightlight kids animal fish children"
"014","Monkey Nightlight","This hand-beaded monkey nightlight will protect the room as well as making it more fun!","misc","21114","75","10","22.99","misc/monkey.jpg","0.07","6","0","4","misc nightlight monkey animal"
"015","Castle Nightlight","Let this magical castle nightlight bring you fairy-tale dreams.","misc","21115","50","6","14.99","misc/castle.jpg","0.1","7","0","5","misc castle nightlight princess children kids"
